,winner
533,1
534,0
535,0
536,1
537,1
538,1
539,0
540,0
541,0
542,1
543,0
544,1
545,0
546,1
547,1
548,0
549,0
550,1
551,0
552,1
553,0
554,1
555,0
556,1
557,1
558,0
559,0
560,1
561,1
562,1
563,1
564,1
565,0
566,1
567,0
568,1
569,0
570,1
571,0
572,0
573,1
574,0
575,1
576,0
577,0
578,0
579,0
580,1
581,1
582,0
583,0
584,1
585,0
586,1
587,1
588,0
589,1
590,0
591,1
592,1
593,1
594,0
595,1
596,1
597,0
598,0
599,0
600,0
601,1
602,0
603,1
604,1
605,0
606,0
607,1
608,1
609,0
610,1
611,0
612,1
613,1
614,1
615,1
616,1
617,0
618,1
619,1
620,0
621,0
622,1
623,1
624,0
625,1
626,1
627,1
628,0
629,1
630,1
631,0
632,1
633,0
634,1
635,1
636,1
637,0
638,1
639,0
640,0
641,0
642,1
643,0
644,0
645,1
646,0
647,0
648,0
649,0
650,0
651,0
652,1
653,1
654,0
655,0
656,1
657,1
658,0
659,1
660,0
661,0
662,0
663,1
664,0
665,0
666,0
667,1
668,0
669,0
670,1
671,1
672,1
673,0
674,1
675,1
676,1
677,1
678,1
679,1
680,0
681,1
682,1
683,1
684,1
685,0
686,1
687,1
688,0
689,1
690,1
691,0
692,1
693,0
694,0
695,1
696,1
697,0
698,1
699,1
700,0
701,1
702,1
703,0
704,0
705,0
706,0
707,1
708,1
709,1
710,0
711,1
712,1
713,0
714,0
715,0
716,1
717,0
718,1
719,1
720,1
721,0
722,0
723,1
724,0
725,0
726,0
727,0
728,1
729,1
730,1
731,0
732,0
733,0
734,0
735,1
736,0
737,0
738,1
739,1
740,1
741,0
742,0
743,1
744,1
745,0
746,0
747,0
748,1
749,1
750,1
751,0
752,1
753,0
754,1
755,0
756,0
757,1
758,0
759,1
760,0
761,0
762,1
763,0
764,1
765,1
766,0
767,1
768,1
769,0
770,1
771,0
772,1
773,1
774,1
775,1
776,1
777,0
778,0
779,1
780,0
781,0
782,0
783,0
784,0
785,0
786,1
787,1
788,1
789,0
790,0
791,0
792,1
793,0
794,1
795,1
796,0
797,0
798,1
799,1
800,0
801,0
802,1
803,1
804,1
805,0
806,0
807,1
808,0
809,0
810,1
811,1
812,1
813,0
814,1
815,0
816,0
817,1
818,0
819,0
820,0
821,0
822,0
823,1
824,1
825,1
826,1
827,0
828,1
829,1
830,0
831,1
832,1
833,1
834,1
835,0
836,1
837,1
838,0
839,0
840,0
841,1
842,0
843,0
844,1
845,0
846,1
847,0
848,0
849,0
850,1
851,1
852,0
853,0
854,0
855,0
856,0
857,1
858,0
859,1
860,1
861,0
862,1
863,1
864,1
865,0
866,0
867,1
868,1
869,0
870,0
871,1
872,0
873,0
874,1
875,1
876,0
877,1
878,1
879,0
880,0
881,0
882,1
883,0
884,1
885,0
886,1
887,0
888,1
889,1
890,1
891,1
892,0
893,0
894,0
895,0
896,1
897,0
898,1
899,1
900,0
901,0
902,0
903,0
904,0
905,1
906,0
907,1
908,0
909,1
910,1
911,0
912,0
913,1
914,1
915,0
916,0
917,1
918,0
919,1
920,1
921,0
922,1
923,1
924,1
925,1
926,0
927,0
928,1
929,1
930,1
931,0
932,1
933,0
934,0
935,0
936,1
937,0
938,1
939,1
940,0
941,1
942,0
943,0
944,1
945,1
946,1
947,1
948,1
949,0
950,0
951,0
952,1
953,0
954,1
955,0
956,0
957,0
958,1
959,0
960,1
961,1
962,0
963,1
964,1
965,0
966,0
967,0
968,0
969,1
970,1
971,1
972,1
973,0
974,1
975,1
976,1
977,0
978,0
979,1
980,1
981,0
982,0
983,1
984,1
985,1
986,0
987,1
988,1
989,1
990,0
991,0
992,0
993,1
994,0
995,0
996,1
997,1
998,0
999,1
1000,1
1001,1
1002,1
1003,0
1004,1
1005,0
1006,1
1007,1
1008,0
1009,0
1010,0
1011,0
1012,1
1013,0
1014,0
1015,0
1016,0
1017,0
1018,1
1019,1
1020,0
1021,0
1022,1
1023,0
1024,1
1025,0
1026,0
1027,1
1028,1
1029,0
1030,1
1031,0
1032,1
1033,1
1034,0
1035,0
1036,0
1037,0
1038,1
1039,1
1040,0
1041,1
1042,1
1043,0
1044,0
1045,0
1046,1
1047,1
1048,1
1049,0
1050,1
1051,1
1052,1
1053,1
1054,0
1055,1
1056,0
1057,1
1058,0
1059,0
1060,1
1061,1
1062,1
1063,0
1064,1
1065,1
1066,1
1067,1
1068,1
1069,0
1070,1
1071,0
1072,0
1073,1
1074,1
1075,1
1076,1
1077,1
1078,0
1079,1
1080,1
1081,1
1082,1
1083,1
1084,0
1085,1
1086,0
1087,0
1088,0
1089,1
1090,0
1091,1
1092,0
1093,0
1094,0
1095,1
1096,1
1097,1
1098,1
1099,1
1100,0
1101,1
1102,0
1103,1
1104,1
1105,0
1106,1
1107,0
1108,1
1109,1
1110,1
1111,0
1112,1
1113,0
1114,0
1115,0
1116,0
1117,0
1118,0
1119,1
1120,1
1121,0
1122,1
1123,1
1124,1
1125,0
1126,0
1127,0
1128,1
1129,0
1130,0
1131,1
1132,1
1133,1
1134,1
1135,0
1136,0
1137,0
1138,0
1139,0
1140,1
1141,0
1142,1
1143,1
1144,0
1145,1
1146,1
1147,0
1148,1
1149,0
1150,0
1151,0
1152,0
1153,0
1154,0
1155,1
1156,1
1157,1
1158,1
1159,1
1160,0
1161,0
1162,0
1163,0
1164,0
1165,1
1166,1
1167,0
1168,0
1169,1
1170,1
1171,0
1172,1
1173,1
1174,0
1175,0
1176,0
1177,1
1178,0
1179,1
1180,0
1181,0
1182,0
1183,1
1184,0
1185,0
1186,1
1187,1
1188,1
1189,1
1190,0
1191,0
1192,0
1193,0
1194,1
1195,1
1196,0
1197,0
1198,0
1199,0
1200,0
1201,1
1202,1
1203,0
1204,0
1205,1
1206,1
1207,0
1208,1
1209,1
1210,0
1211,0
1212,1
1213,1
1214,1
1215,1
1216,1
1217,1
1218,1
1219,1
1220,1
1221,1
1222,0
1223,0
1224,1
1225,0
1226,1
1227,0
1228,1
1229,1
1230,0
1231,0
1232,0
1233,0
1234,1
1235,1
1236,0
1237,0
1238,1
1239,1
1240,1
1241,0
1242,1
1243,0
1244,1
1245,1
1246,0
1247,1
1248,1
1249,1
1250,1
1251,1
1252,1
1253,1
1254,1
1255,0
1256,1
1257,1
1258,0
1259,1
1260,1
1261,0
1262,0
1263,1
1264,1
1265,1
1266,1
1267,0
1268,0
1269,0
1270,0
1271,0
1272,1
1273,0
1274,0
1275,0
1276,1
1277,0
1278,0
1279,0
1280,0
1281,1
1282,1
1283,1
1284,1
1285,1
1286,1
1287,0
1288,1
1289,1
1290,0
1291,0
1292,0
1293,0
1294,1
1295,1
1296,0
1297,0
1298,1
1299,0
1300,1
1301,0
1302,1
1303,1
1304,0
1305,0
1306,1
1307,0
1308,1
1309,1
1310,1
1311,1
1312,1
1313,1
1314,1
1315,1
1316,0
1317,0
1318,1
1319,0
1320,1
1321,1
1322,1
1323,1
1324,1
1325,1
1326,1
1327,0
1328,1
1329,1
1330,0
1331,0
1332,1
1333,0
1334,1
1335,0
1336,0
1337,0
1338,0
1339,1
1340,1
1341,0
1342,1
1343,1
1344,0
1345,1
1346,1
1347,0
1348,1
1349,0
1350,0
1351,1
1352,0
1353,1
1354,1
1355,0
1356,0
1357,0
1358,1
1359,1
1360,1
1361,0
1362,0
1363,0
1364,0
1365,1
1366,0
1367,1
1368,0
1369,1
1370,1
1371,0
1372,0
1373,0
1374,1
1375,1
1376,1
1377,1
1378,1
1379,1
1380,0
1381,1
1382,0
1383,0
1384,0
1385,0
1386,0
1387,1
1388,1
1389,0
1390,1
1391,1
1392,0
1393,0
1394,1
1395,1
1396,1
1397,0
1398,0
1399,0
1400,1
1401,1
1402,1
1403,1
1404,1
1405,0
1406,0
1407,0
1408,1
1409,1
1410,0
1411,1
1412,0
1413,0
1414,0
1415,1
1416,1
1417,0
1418,1
1419,1
1420,0
1421,0
1422,1
1423,1
1424,0
1425,1
1426,0
1427,1
1428,0
1429,0
1430,1
1431,1
1432,1
1433,0
1434,0
1435,0
1436,0
1437,0
1438,1
1439,0
1440,1
1441,1
1442,1
1443,0
1444,1
1445,1
1446,0
1447,1
1448,1
1449,1
1450,1
1451,0
1452,1
1453,0
1454,1
1455,1
1456,1
1457,0
1458,1
1459,0
1460,0
1461,0
1462,0
1463,0
1464,1
1465,1
1466,0
1467,1
1468,1
1469,0
1470,1
1471,1
1472,1
1473,0
1474,0
1475,0
1476,0
1477,0
1478,1
1479,0
1480,0
1481,0
1482,0
1483,1
1484,0
1485,0
1486,0
1487,0
1488,0
1489,1
1490,0
1491,0
1492,1
1493,0
1494,1
1495,0
1496,1
1497,0
1498,0
1499,0
1500,0
1501,0
1502,0
1503,0
1504,1
1505,0
1506,1
1507,0
1508,0
1509,1
1510,0
1511,0
1512,0
1513,1
1514,1
1515,1
1516,1
1517,0
1518,0
1519,1
1520,0
1521,1
1522,0
1523,0
1524,0
1525,0
1526,0
1527,0
1528,1
1529,0
1530,1
1531,0
1532,0
1533,1
1534,0
1535,1
1536,1
1537,1
1538,0
1539,1
1540,1
1541,0
1542,1
1543,1
1544,1
1545,0
1546,0
1547,1
1548,0
1549,0
1550,1
1551,1
1552,0
1553,0
1554,1
1555,1
1556,1
1557,1
1558,0
1559,0
1560,0
1561,1
1562,0
1563,0
1564,0
1565,1
1566,1
1567,1
1568,0
1569,1
1570,0
1571,1
1572,0
1573,1
1574,1
1575,1
1576,0
1577,1
1578,0
1579,1
1580,1
1581,1
1582,1
1583,1
1584,0
1585,1
1586,0
1587,1
1588,1
1589,0
1590,1
1591,1
1592,0
1593,0
1594,1
1595,1
1596,1
1597,1
1598,0
1599,0
1600,1
1601,0
1602,1
1603,0
1604,0
1605,1
1606,0
1607,1
1608,0
1609,1
1610,0
1611,1
1612,1
1613,0
1614,1
1615,1
1616,0
1617,1
1618,0
1619,0
1620,0
1621,0
1622,0
1623,0
1624,0
1625,0
1626,1
1627,1
1628,1
1629,0
1630,1
1631,0
1632,0
1633,1
1634,1
1635,1
1636,0
1637,0
1638,0
1639,1
1640,1
1641,1
1642,1
1643,1
1644,0
1645,0
1646,1
1647,1
1648,0
1649,0
1650,0
1651,1
1652,1
1653,0
1654,0
1655,1
1656,0
1657,0
1658,0
1659,1
1660,0
1661,0
1662,1
1663,0
1664,1
1665,1
1666,0
1667,0
1668,1
1669,1
1670,0
1671,0
1672,1
1673,0
1674,0
1675,0
1676,0
1677,1
1678,0
1679,0
1680,0
1681,0
1682,0
1683,0
1684,0
1685,0
1686,0
1687,1
1688,1
1689,1
1690,0
1691,1
1692,0
1693,0
1694,0
1695,0
1696,1
1697,1
1698,1
1699,0
1700,0
1701,1
1702,0
1703,0
1704,0
1705,0
1706,0
1707,0
1708,0
1709,0
1710,0
1711,0
1712,1
1713,1
1714,0
1715,1
1716,1
1717,0
1718,1
1719,1
1720,0
1721,0
1722,0
1723,1
1724,0
1725,0
1726,1
1727,1
1728,1
1729,0
1730,1
1731,1
1732,0
1733,1
1734,1
1735,1
1736,0
1737,0
1738,1
1739,0
1740,0
1741,1
1742,0
1743,1
1744,1
1745,0
1746,0
1747,0
1748,1
1749,1
1750,1
1751,0
1752,0
1753,1
1754,1
1755,0
1756,0
1757,1
1758,1
1759,0
1760,0
1761,0
1762,0
1763,1
1764,1
1765,0
1766,0
1767,1
1768,0
1769,0
1770,0
1771,0
1772,1
1773,1
1774,1
1775,0
1776,1
1777,1
1778,1
1779,0
1780,0
1781,0
1782,1
1783,1
1784,0
1785,0
1786,0
1787,1
1788,0
1789,1
1790,1
1791,1
1792,0
1793,1
1794,1
1795,0
1796,1
1797,0
1798,0
1799,1
1800,0
1801,0
1802,1
1803,1
1804,1
1805,1
1806,1
1807,1
1808,0
1809,0
1810,0
1811,1
1812,0
1813,1
1814,1
1815,0
1816,1
1817,0
1818,1
1819,1
1820,1
1821,1
1822,1
1823,1
1824,0
1825,0
1826,0
1827,0
1828,1
1829,0
1830,0
1831,0
1832,0
1833,0
1834,1
1835,0
1836,1
1837,1
1838,0
1839,1
1840,0
1841,0
1842,1
1843,0
1844,0
1845,0
1846,0
1847,0
1848,1
1849,1
1850,0
1851,1
1852,1
1853,1
1854,1
1855,1
1856,0
1857,0
1858,1
1859,1
1860,0
1861,0
1862,1
1863,0
1864,0
1865,1
1866,0
1867,1
1868,1
1869,1
1870,0
1871,0
1872,1
1873,1
1874,1
1875,0
1876,1
1877,1
1878,1
1879,1
1880,0
1881,0
1882,0
1883,1
1884,1
1885,1
1886,0
1887,0
1888,1
1889,1
1890,0
1891,1
1892,1
1893,0
1894,1
1895,0
1896,1
1897,1
1898,0
1899,1
1900,1
1901,0
1902,1
1903,1
1904,1
1905,1
1906,1
1907,1
1908,0
1909,0
1910,0
1911,0
1912,1
1913,1
1914,1
1915,0
1916,0
1917,1
1918,0
1919,0
1920,0
1921,1
1922,0
1923,0
1924,0
1925,0
1926,0
1927,1
1928,1
1929,1
1930,0
1931,1
1932,0
1933,1
1934,1
1935,1
1936,1
1937,0
1938,0
1939,0
1940,1
1941,1
1942,1
1943,0
1944,1
1945,1
1946,1
1947,0
1948,0
1949,1
1950,0
1951,0
1952,0
1953,0
1954,1
1955,0
1956,0
1957,1
1958,1
1959,1
1960,0
1961,1
1962,1
1963,0
1964,1
1965,0
1966,0
1967,0
1968,1
1969,1
1970,0
1971,1
1972,1
1973,0
1974,1
1975,1
1976,0
1977,1
1978,0
1979,1
1980,0
1981,1
1982,1
1983,1
1984,0
1985,0
1986,0
1987,1
1988,0
1989,1
1990,1
1991,0
1992,1
1993,1
1994,0
1995,1
1996,0
1997,0
1998,0
1999,0
2000,1
2001,0
2002,0
2003,0
2004,1
2005,1
2006,1
2007,1
2008,0
2009,1
2010,0
2011,0
2012,1
2013,1
2014,0
2015,0
2016,0
2017,0
2018,1
2019,1
2020,0
2021,1
2022,0
2023,0
2024,1
2025,0
2026,1
2027,1
2028,0
2029,1
2030,1
2031,1
2032,1
2033,1
2034,1
2035,0
2036,1
2037,1
2038,0
2039,0
2040,0
2041,0
2042,0
2043,0
2044,1
2045,0
2046,1
2047,1
2048,1
2049,0
2050,0
2051,1
2052,1
2053,1
2054,0
2055,0
2056,1
2057,0
2058,1
2059,0
2060,0
2061,0
2062,0
2063,0
2064,1
2065,1
2066,0
2067,0
2068,1
2069,1
2070,0
2071,0
2072,1
2073,1
2074,0
2075,0
2076,1
2077,0
2078,0
2079,1
2080,1
2081,1
2082,0
2083,1
2084,0
2085,0
2086,1
2087,0
2088,0
2089,0
2090,0
2091,0
2092,0
2093,0
2094,0
2095,1
2096,1
2097,0
2098,1
2099,0
2100,1
2101,0
2102,1
2103,1
2104,1
2105,1
2106,1
2107,0
2108,1
2109,0
2110,1
2111,0
2112,1
2113,1
2114,1
2115,0
2116,1
2117,0
2118,0
2119,0
2120,0
2121,1
2122,1
2123,0
2124,0
2125,0
2126,1
2127,0
2128,0
2129,1
2130,1
2131,0
2132,0
2133,0
2134,0
2135,0
2136,1
2137,0
2138,1
2139,1
2140,0
2141,0
2142,1
2143,1
2144,0
2145,0
2146,0
2147,0
2148,0
2149,1
2150,1
2151,1
2152,1
2153,0
2154,1
2155,1
2156,1
2157,0
2158,1
2159,1
2160,0
2161,1
2162,1
2163,0
2164,1
2165,0
2166,0
2167,1
2168,1
2169,1
2170,1
2171,1
2172,0
2173,0
2174,1
2175,0
2176,1
2177,0
2178,0
2179,0
2180,0
2181,1
2182,1
2183,1
2184,1
2185,0
2186,0
2187,1
2188,0
2189,1
2190,0
2191,0
2192,0
2193,1
2194,0
2195,1
2196,1
2197,1
2198,1
2199,1
2200,1
2201,0
2202,0
2203,0
2204,0
2205,1
2206,0
2207,0
2208,0
2209,1
2210,1
2211,0
2212,1
2213,1
2214,0
2215,1
2216,1
2217,1
2218,0
2219,1
2220,1
2221,0
2222,0
2223,0
2224,1
2225,1
2226,1
2227,0
2228,1
2229,0
2230,1
2231,1
2232,1
2233,1
2234,0
2235,0
2236,0
2237,1
2238,0
2239,0
2240,0
2241,1
2242,1
2243,0
2244,1
2245,0
2246,0
2247,0
2248,1
2249,1
2250,0
2251,1
2252,0
2253,0
2254,1
2255,0
2256,1
2257,1
2258,0
2259,0
2260,0
2261,0
2262,1
2263,0
2264,0
2265,1
2266,1
2267,0
2268,0
2269,0
2270,0
2271,1
2272,1
2273,0
2274,0
2275,1
2276,0
2277,0
2278,1
2279,0
2280,1
2281,0
2282,0
2283,1
2284,0
2285,0
2286,0
2287,0
2288,1
2289,0
2290,1
2291,0
2292,1
2293,1
2294,1
2295,1
2296,0
2297,0
2298,1
2299,1
2300,1
2301,1
2302,1
2303,0
2304,0
2305,1
2306,1
2307,1
2308,0
2309,0
2310,0
2311,1
2312,0
2313,1
2314,1
2315,0
2316,1
2317,1
2318,1
2319,0
2320,1
2321,1
2322,0
2323,0
2324,0
2325,1
2326,1
2327,1
2328,0
2329,0
2330,1
2331,0
2332,1
2333,0
2334,1
2335,0
2336,0
2337,0
2338,0
2339,0
2340,0
2341,1
2342,0
2343,0
2344,1
2345,1
2346,1
2347,1
2348,1
2349,1
2350,1
2351,0
2352,1
2353,1
2354,1
2355,1
2356,0
2357,1
2358,1
2359,0
2360,1
2361,1
2362,0
2363,0
2364,0
2365,0
2366,1
2367,0
2368,0
2369,1
2370,1
2371,0
2372,0
2373,0
2374,0
2375,1
2376,1
2377,0
2378,0
2379,0
2380,1
2381,0
2382,0
2383,1
2384,0
2385,0
2386,1
2387,1
2388,1
2389,1
2390,1
2391,0
2392,1
2393,0
2394,1
2395,1
2396,1
2397,0
2398,0
2399,0
2400,1
2401,1
2402,0
2403,0
2404,0
2405,1
2406,1
2407,0
2408,0
2409,1
2410,1
2411,0
2412,0
2413,0
2414,1
2415,1
2416,1
2417,0
2418,0
2419,0
2420,0
2421,1
2422,1
2423,1
2424,1
2425,1
2426,1
2427,0
2428,1
2429,0
2430,1
2431,1
2432,1
2433,0
2434,0
2435,0
2436,0
2437,0
2438,1
2439,0
2440,0
2441,0
2442,1
2443,0
2444,1
2445,1
2446,1
2447,1
2448,0
2449,1
2450,1
2451,0
2452,1
2453,0
2454,0
2455,0
2456,1
2457,0
2458,1
2459,1
2460,0
2461,1
2462,1
2463,0
2464,0
2465,0
2466,0
2467,0
2468,0
2469,0
2470,0
2471,0
2472,0
2473,1
2474,0
2475,1
2476,0
2477,1
2478,0
2479,0
2480,1
2481,1
2482,1
2483,1
2484,0
2485,1
2486,1
2487,0
2488,1
2489,1
2490,1
2491,1
2492,0
2493,0
2494,0
2495,0
2496,0
2497,0
2498,1
2499,0
2500,1
2501,1
2502,1
2503,0
2504,1
2505,0
2506,1
2507,0
2508,0
2509,0
2510,0
2511,1
2512,1
2513,1
2514,0
2515,1
2516,1
2517,0
2518,1
2519,0
2520,1
2521,1
2522,0
2523,0
2524,1
2525,0
2526,0
2527,0
2528,0
2529,1
2530,1
2531,1
2532,0
2533,0
2534,1
2535,1
2536,1
2537,1
2538,1
2539,1
2540,1
2541,0
2542,0
2543,0
2544,0
2545,1
2546,0
2547,1
2548,0
2549,1
2550,0
2551,1
2552,1
2553,0
2554,0
2555,1
2556,0
2557,1
2558,1
2559,0
2560,1
2561,1
2562,0
2563,0
2564,0
2565,1
2566,0
2567,0
2568,0
2569,1
2570,0
2571,0
2572,0
2573,0
2574,0
2575,0
2576,0
2577,0
2578,0
2579,1
2580,1
2581,0
2582,1
2583,1
2584,0
2585,0
2586,1
2587,0
2588,1
2589,1
2590,0
2591,0
2592,0
2593,1
2594,0
2595,0
2596,1
2597,0
2598,1
2599,0
2600,1
2601,0
2602,0
2603,1
2604,0
2605,1
2606,1
2607,0
2608,1
2609,1
2610,1
2611,1
2612,0
2613,1
2614,0
2615,0
2616,0
2617,1
2618,1
2619,1
2620,1
2621,1
2622,0
2623,1
2624,0
2625,1
2626,1
2627,1
2628,0
2629,1
2630,0
2631,1
2632,1
2633,1
2634,1
2635,0
2636,1
2637,1
2638,0
2639,0
2640,1
2641,0
2642,1
2643,0
2644,0
2645,1
2646,1
2647,1
2648,0
2649,0
2650,1
2651,0
2652,1
2653,0
2654,0
2655,0
2656,1
2657,0
2658,0
2659,1
2660,0
2661,1
2662,1
2663,1
2664,1
2665,1
2666,0
2667,1
2668,0
2669,1
2670,0
2671,1
2672,0
2673,0
2674,0
2675,0
2676,0
2677,0
2678,1
2679,1
2680,1
2681,1
2682,0
2683,1
2684,0
2685,1
2686,1
2687,0
2688,1
2689,1
2690,0
2691,1
2692,1
2693,1
2694,1
2695,0
2696,0
2697,0
2698,1
2699,0
2700,1
2701,1
2702,1
2703,0
2704,1
2705,0
2706,1
2707,0
2708,0
2709,0
2710,1
2711,0
2712,0
2713,0
2714,0
2715,1
2716,1
2717,0
2718,1
2719,0
2720,0
2721,0
2722,1
2723,1
2724,1
2725,0
2726,0
2727,1
2728,1
2729,0
2730,1
2731,1
2732,1
2733,0
2734,1
2735,1
2736,0
2737,0
2738,0
2739,0
2740,0
2741,1
2742,1
2743,0
2744,1
2745,0
2746,0
2747,1
2748,0
2749,0
2750,1
2751,0
2752,0
2753,0
2754,0
2755,1
2756,1
2757,0
2758,1
2759,1
2760,1
2761,1
2762,1
2763,1
2764,1
2765,1
2766,1
2767,0
2768,0
2769,0
2770,0
2771,1
2772,1
2773,0
2774,0
2775,1
2776,0
2777,0
2778,1
2779,0
2780,0
2781,1
2782,0
2783,1
2784,0
2785,1
2786,1
2787,1
2788,1
2789,1
2790,1
2791,1
2792,1
2793,0
2794,0
2795,0
2796,1
2797,1
2798,1
2799,1
2800,0
2801,1
2802,0
2803,0
2804,1
2805,0
2806,0
2807,1
2808,1
2809,1
2810,1
2811,0
2812,0
2813,0
2814,1
2815,1
2816,0
2817,0
2818,1
2819,0
2820,0
2821,0
2822,0
2823,1
2824,0
2825,1
2826,0
2827,0
2828,0
2829,1
2830,1
2831,1
2832,0
2833,0
2834,0
2835,1
2836,1
2837,1
2838,0
2839,1
2840,0
2841,1
2842,1
2843,0
2844,0
2845,0
2846,0
2847,0
2848,1
2849,1
2850,1
2851,0
2852,1
2853,0
2854,0
2855,0
2856,1
2857,1
2858,1
2859,1
2860,1
2861,1
2862,1
2863,1
2864,1
2865,1
2866,0
2867,1
2868,1
2869,1
2870,1
2871,1
2872,1
2873,0
2874,0
2875,1
2876,1
2877,1
2878,0
2879,0
2880,0
2881,1
2882,1
2883,0
2884,0
2885,1
2886,1
2887,0
2888,0
2889,0
2890,0
2891,0
2892,0
2893,1
2894,0
2895,0
2896,0
2897,1
2898,1
2899,1
2900,0
2901,1
2902,0
2903,0
2904,1
2905,0
2906,1
2907,1
2908,1
2909,0
2910,1
2911,1
2912,1
2913,0
2914,1
2915,0
2916,0
2917,0
2918,1
2919,0
2920,1
2921,1
2922,1
2923,1
2924,1
2925,0
2926,1
2927,0
2928,1
2929,0
2930,0
2931,0
2932,0
2933,0
2934,0
2935,1
2936,1
2937,0
2938,1
2939,0
2940,1
2941,1
2942,0
2943,1
2944,1
2945,0
2946,1
2947,1
2948,1
2949,1
2950,1
2951,0
2952,1
2953,0
2954,1
2955,1
2956,1
2957,1
2958,0
2959,1
2960,0
2961,1
2962,0
2963,0
2964,0
2965,0
2966,0
2967,1
2968,1
2969,0
2970,1
2971,0
2972,1
2973,0
2974,0
2975,0
2976,1
2977,0
2978,0
2979,0
2980,1
2981,1
2982,0
2983,0
2984,0
2985,1
2986,1
2987,0
2988,1
2989,0
2990,0
2991,0
2992,1
2993,0
2994,0
2995,0
2996,1
2997,1
